Exercise Name,Target Area,Equipment Required,Experience Level,Reps,Sets,Duration
Squat,"Fessiers, Jambes",Aucun,Débutant,10,3,1 min
Planche,Abdominaux,Aucun,Débutant,NA,3,30 sec
Soulevé de terre,"Fessiers, Jambes",Haltères,Intermédiaire,12,3,1 min
Pompes,"Pectoraux, Triceps",Aucun,Débutant,15,3,1 min
Fentes,"Jambes, Fessiers",Aucun,Débutant,12,3,1 min
Tractions,"Dorsaux, Biceps",Barre de traction,Intermédiaire,8,3,1 min
Développé couché,"Pectoraux, Triceps",Barre de musculation,Intermédiaire,10,3,1 min
Crunchs,Abdominaux,Aucun,Débutant,20,3,30 sec
Burpees,Tout le corps,Aucun,Débutant,10,3,1 min
Rameur,"Cardio, Épaules",Machine,Tous niveaux,NA,3,10 min
